,date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
3323,2019-12-01,7141.766628699581,18720708479.35,30.56,-0.0001401754483462,7.90553161746608e+19,607728,21.90876399,678525.3004679501,-1.0,1.0,703856.7857142857,3.9,-345.352603378602,-344.3118998816797
3324,2019-12-02,7372.462845689237,17082040705.78,31.97,6.213884809534758e-05,9.597227589858096e+19,736971,26.09108998,863890.28869469,-1.0,1.0,713925.0714285715,3.4,-343.74317499783774,-344.19815490491135
3325,2019-12-03,7447.802936872103,14797485769.1,33.33,0.0005995769003384,9.21368917532336e+19,753755,25.47734062,852602.43446235,-1.0,1.0,718629.8571428572,3.4,-338.7119172424491,-343.10090737241893
3326,2019-12-04,6880.189329290124,21664240918.45,34.64,0.0007454434255334,1.0521049294135828e+20,758374,29.54553925,2327460.87612257,-1.0,1.0,717146.2857142857,3.4,-336.3434304924167,-341.7494119964185
3327,2019-12-05,7375.768743181821,18816085231.3,45.65,0.0028733193101651,9.708316086810385e+19,730609,23.24165709,896165.31583045,-1.0,1.0,712664.6428571428,3.4,-314.9977047118209,-336.399070539499
3328,2019-12-06,7577.275223492201,18104466306.77,55.56,0.0052564044074163,9.10962488692858e+19,743966,25.03292648,2287143.18085294,-1.0,1.0,708046.8571428572,3.4,-286.81148715868403,-326.48155386333605
3329,2019-12-07,7161.606328615081,15453520564.06,53.49,0.0069620880518885,9.70071637382068e+19,658975,18.05659965,955099.29913224,-1.0,1.0,707017.6428571428,3.4,-260.7225606972961,-313.32975523012806
3330,2019-12-08,7381.389247888641,15409908086.2,65.03,0.008108056576646,9.974527409962018e+19,587605,14.5034802,729316.09977231,-1.0,1.0,708997.6428571428,3.4,-236.66457961208016,-297.99672010651847
3331,2019-12-09,7650.264703820001,17872021272.39,56.9,0.0075493081398162,9.599804619932008e+19,784032,21.82070486,1188484.97902462,-1.0,1.0,717482.6428571428,3.0,-228.15713292101827,-284.02880266941844
3332,2019-12-10,7293.882152542784,18249031194.89,51.46,0.0060831917358913,8.953992072645409e+19,803298,23.22218997,1147101.46524134,11.2,1.0,718728.2142857143,3.0,-228.6860550211713,-272.96025313976907
3333,2019-12-11,7142.000044529972,16350490689.28,39.39,0.0046137581523473,8.938205553767755e+19,793438,24.60426083,1206286.06843161,11.2,1.0,725117.1428571428,3.0,-231.33592415011023,-264.6353873418373
3334,2019-12-12,7768.026078182557,18927080224.02,42.53,0.0039662809529761,8.89607882710519e+19,723507,22.56385567,834045.0175809601,11.2,1.0,726511.0,3.0,-228.7250050134089,-257.45331087615165
3335,2019-12-13,7204.252803424297,17125736940.17,30.07,0.0039064600006601,9.54719215587627e+19,729489,22.4711631,718396.78316202,11.2,1.0,726107.2857142857,3.0,-221.9548959411395,-250.35362788914924
3336,2019-12-14,6798.020816158049,17137029729.95,31.03,0.0027694800117652,1.0362149074439928e+20,630769,15.36404462,728580.09690632,11.2,1.0,727753.0714285715,3.0,-225.68907520142875,-245.42071735160516
3337,2019-12-15,6878.1731717295725,16881129804.3,37.5,0.0024139799301007,7.700257078957407e+19,645544,20.4478166,648890.52203402,11.2,1.0,721222.5714285715,3.0,-223.8388259694448,-241.10433907517307
3338,2019-12-16,7013.969191821962,20213265949.62,33.77,0.0004304830117016,9.897260647350434e+19,793627,22.16325645,765671.43751538,11.2,1.0,724070.5714285715,3.4,-237.37394527920787,-240.35826031598003
3339,2019-12-17,6356.415473360941,22363804217.34,27.01,-0.0033980102657977,9.114874362470503e+19,891036,22.92717755,1775615.77380914,11.2,1.0,733876.3571428572,3.4,-268.5639340364378,-245.9993950600716
3340,2019-12-18,6960.977327908163,31836522778.2,50.74,0.0007494936627478,8.498955497377664e+19,743776,27.48314294,1163040.44164033,11.2,1.0,732833.6428571428,3.4,-239.1819981081553,-244.6359156696884
3341,2019-12-19,7009.13274555136,25904604415.96,43.5,0.002809985211664,1.0250807546252571e+20,728845,28.71547007,1002388.3830435,11.2,1.0,732707.6428571428,3.4,-219.33605799000543,-239.5759441337518
3342,2019-12-20,7496.868845940087,22633815180.05,40.83,0.0043843616712874,9.61862011093197e+19,711782,25.47719556,1004139.73764792,11.2,1.0,730408.7857142857,3.4,-200.01356678587217,-231.66346866417587
3343,2019-12-21,7633.152403998402,19312552168.11,40.12,0.0052132499415084,1.1431815794729774e+20,621619,16.60936724,675090.24974395,11.2,1.0,727740.5,3.4,-184.8018355784634,-222.2911420470334
3344,2019-12-22,7747.940854300249,23134537956.15,48.45,0.008208622290731,1.1157243078493892e+20,586698,12.80407837,756963.93796052,11.2,1.0,727675.7142857143,3.4,-145.2163954825346,-206.87619273413364
3345,2019-12-23,7182.122380696145,27831788041.21,48.72,0.0089061165399156,1.0208031748006804e+20,706457,18.87107421,947692.83871834,11.2,1.0,722134.6428571428,3.4,-124.98858952461252,-190.4986720922294
3346,2019-12-24,7100.989690755733,22991622105.41,50.74,0.0087556952852771,8.42481359992337e+19,668278,17.60848203,729180.90880985,11.2,1.0,712490.3571428572,3.4,-110.35634343388028,-174.4702063605596
3347,2019-12-25,7127.998483423199,21559505148.81,50.98,0.0080334945889922,8.504819101818715e+19,543218,13.13196764,595145.15227995,11.2,1.0,694617.5,3.4,-101.41405113733616,-159.8589753159149
3348,2019-12-26,6981.031971720254,22787010034.35,49.49,0.0070418733464429,9.403773553174484e+19,639346,18.91209694,699619.94145803,11.2,1.0,688606.0,3.4,-96.13911412941798,-147.11500307861553
3349,2019-12-27,7079.4750275941515,22777360995.57,50.25,0.0066152661345222,9.675963662590385e+19,706108,17.11633792,866407.98105188,11.2,1.0,686935.9285714285,3.4,-86.83265846487393,-135.05853415586722
3350,2019-12-28,7492.2527608434475,21365673026.12,54.55,0.0064206227108974,9.465218569071616e+19,630081,13.80390964,683758.97947336,11.2,1.0,686886.7857142857,3.4,-76.3259678921986,-123.3120209031335
3351,2019-12-29,7780.850959202751,22445257701.74,56.33,0.0069448759612765,1.0233646404570287e+20,587285,12.6092473,560366.83561508,11.2,1.0,682725.4285714285,3.4,-58.87526898549095,-110.424670519605
3352,2019-12-30,7340.860248212149,22874131671.99,59.02,0.0060934630947339,9.675021951507512e+19,730520,15.90283263,986608.5048105,11.2,1.0,678217.7857142857,2.8,-54.87517507356279,-99.31477143039656
3353,2019-12-31,6689.666429272007,21167946112.3,65.52,0.0044784145170541,1.0351801228662104e+20,669834,14.84211896,722977.0577696001,11.2,1.0,662417.6428571428,2.8,-59.04487381181298,-91.26079190667986
3354,2020-01-01,7209.294029710352,18565664996.79,46.24,0.0033495267191487,9.742700168961216e+19,522161,9.97099973,443410.40498249,11.2,1.0,646588.0,2.8,-61.11432126791351,-85.23149777892658
3355,2020-01-02,7087.306914850443,20802083465.33,41.18,0.0006945683710525,9.939764625590482e+19,678389,13.78084459,693647.05599059,11.2,1.0,629439.6428571428,2.8,-79.16663962972598,-84.01852614908647
3356,2020-01-03,7365.649418737468,28111481031.94,53.92,0.0022090731485774,1.1519874826986206e+20,712208,16.38979535,1016699.87078484,11.2,1.0,635910.2857142857,2.8,-63.73679311285832,-79.96217954184084
3357,2020-01-04,7469.534263969715,18444271274.76,56.71,0.0037014202145592,1.093667846939285e+20,615785,12.31216518,657507.72195411,11.2,1.0,637987.9285714285,2.8,-45.674737019211534,-73.10469103731498
3358,2020-01-05,7605.360653655231,19725074094.54,46.24,0.0045502688128259,1.1368130801766883e+20,596336,11.88711242,563247.15475793,11.2,1.0,630122.1428571428,2.8,-30.95033341992439,-64.67381951383686
3359,2020-01-06,7938.263413760772,23276261598.25,63.37,0.0076365949949966,1.0887223658796823e+20,724303,20.49312376,1095933.32297166,11.2,1.0,634123.9285714285,2.6,9.489154521965247,-49.84122470667644
3360,2020-01-07,7960.204499299574,28767291326.97,72.07,0.0119919805141558,1.0088375388619058e+20,771654,25.56190656,784625.04310717,11.2,1.0,650440.7857142857,2.6,72.53232311698594,-25.36651514194397
3361,2020-01-08,8455.866353970077,31672559264.52,70.93,0.0138396216135646,1.2656722689243147e+20,745781,30.83081053,899391.01379948,11.2,1.0,658043.2857142857,2.6,114.41128925739211,2.58904573792325
