date,value
2011-05-05,7151
2011-05-06,6956
2011-05-07,7114
2011-05-08,6630
2011-05-09,7510
2011-05-10,7096
2011-05-11,7122
2011-05-12,7283
2011-05-13,9457
2011-05-14,9075
2011-05-15,8414
2011-05-16,11803
2011-05-17,10384
2011-05-18,13150
2011-05-19,11783
2011-05-20,11699
2011-05-21,10592
2011-05-22,10846
2011-05-23,12217
2011-05-24,13132
2011-05-25,14760
2011-05-26,14268
2011-05-27,10903
2011-05-28,11552
2011-05-29,11521
2011-05-30,12585
2011-05-31,13982
2011-06-01,14043
2011-06-02,15459
2011-06-03,17741
2011-06-04,19728
2011-06-05,17662
2011-06-06,21083
2011-06-07,19206
2011-06-08,27266
2011-06-09,26219
2011-06-10,24275
2011-06-11,23839
2011-06-12,27257
2011-06-13,25165
2011-06-14,29777
2011-06-15,27660
2011-06-16,28666
2011-06-17,26437
2011-06-18,25899
2011-06-19,27866
2011-06-20,25564
2011-06-21,25256
2011-06-22,26804
2011-06-23,24185
2011-06-24,25503
2011-06-25,22622
2011-06-26,24127
2011-06-27,30134
2011-06-28,25862
2011-06-29,24405
2011-06-30,23228
2011-07-01,30344
2011-07-02,32077
2011-07-03,22031
2011-07-04,23834
2011-07-05,23645
2011-07-06,26601
2011-07-07,22643
2011-07-08,24961
2011-07-09,22376
2011-07-10,29298
2011-07-11,25407
2011-07-12,23335
2011-07-13,27138
2011-07-14,28840
2011-07-15,24887
2011-07-16,23706
2011-07-17,24647
2011-07-18,27778
2011-07-19,25356
2011-07-20,25461
2011-07-21,25378
2011-07-22,24428
2011-07-23,21547
2011-07-24,23903
2011-07-25,26768
2011-07-26,23317
2011-07-27,23742
2011-07-28,25905
2011-07-29,22490
2011-07-30,19350
2011-07-31,24519
2011-08-01,24432
2011-08-02,20824
2011-08-03,18614
2011-08-04,19254
2011-08-05,21833
2011-08-06,19507
2011-08-07,20134
2011-08-08,24672
2011-08-09,23592
2011-08-10,19400
2011-08-11,18286
2011-08-12,17412
2011-08-13,19665
2011-08-14,21211
2011-08-15,18940
2011-08-16,20993
2011-08-17,20652
2011-08-18,20917
2011-08-19,21995
2011-08-20,21238
2011-08-21,22424
2011-08-22,25255
2011-08-23,22523
2011-08-24,22638
2011-08-25,23091
2011-08-26,21283
2011-08-27,21244
2011-08-28,18378
2011-08-29,18823
2011-08-30,17324
2011-08-31,17149
2011-09-01,16589
2011-09-02,16363
2011-09-03,14319
2011-09-04,17822
2011-09-05,18193
2011-09-06,18872
2011-09-07,16855
2011-09-08,15832
2011-09-09,18354
2011-09-10,16167
2011-09-11,15739
2011-09-12,15899
2011-09-13,14959
2011-09-14,15192
2011-09-15,15482
2011-09-16,14476
2011-09-17,12903
2011-09-18,14196
2011-09-19,16499
2011-09-20,21500
2011-09-21,18297
2011-09-22,17486
2011-09-23,19216
2011-09-24,19656
2011-09-25,19723
2011-09-26,17623
2011-09-27,18461
2011-09-28,13766
2011-09-29,12324
2011-09-30,13620
2011-10-01,13286
2011-10-02,11856
2011-10-03,14031
2011-10-04,13371
2011-10-05,13475
2011-10-06,14660
2011-10-07,13622
2011-10-08,12331
2011-10-09,12398
2011-10-10,13498
2011-10-11,13852
2011-10-12,13370
2011-10-13,11340
2011-10-14,14662
2011-10-15,13000
2011-10-16,11949
2011-10-17,14480
2011-10-18,12586
2011-10-19,12283
2011-10-20,11014
2011-10-21,11937
2011-10-22,12833
2011-10-23,13144
2011-10-24,13637
2011-10-25,12817
2011-10-26,12848
2011-10-27,11685
2011-10-28,11948
2011-10-29,13153
2011-10-30,10844
2011-10-31,12167
2011-11-01,12935
2011-11-02,13426
2011-11-03,13257
2011-11-04,15306
2011-11-05,13380
2011-11-06,11361
2011-11-07,13062
2011-11-08,13485
2011-11-09,14843
2011-11-10,13935
2011-11-11,12393
