date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,active-count_smoothed,gesi_value,MACD,Signal_Line
2023-05-07,28454.9782855135,11301355486.45,57.09,-0.0018458739713767976,331705160.0,549932.0,6275070589.277977,178556997357969.25,854694.6428571428,0.072,138.79786053126736,191.3221643045887
2023-05-08,27694.2728962731,19122903752.39,51.44,-0.0044454412547738605,326932423.0,696710.0,2648208726.2818136,73340215151940.34,833106.2142857143,0.05,37.4305852370162,160.54384849107421
2023-05-09,27658.774672519,14128593255.78,44.95,-0.005952263544096838,360341575.0,772112.0,2281077965.487694,63091821457872.2,824257.9285714285,0.05,-45.24654670595555,119.38576945166827
2023-05-10,27621.7562273313,20656025025.55,43.6,-0.006714859205177631,405682570.0,891517.0,3137536935.187248,86664280377990.33,824134.2857142857,0.05,-112.4594856311669,73.01671843510124
2023-05-11,27000.7882707338,16724343943.18,28.52,-0.008485388706983349,360341575.0,831417.0,2770395978.856964,74802875251209.2,819741.6428571428,0.05,-213.37351140506507,15.738672467067978
2023-05-12,26804.9906706878,19313599897.31,28.31,-0.009591152872376977,336477896.0,809188.0,3169630069.189967,84961904434168.6,809124.5714285715,0.05,-305.6247816144387,-48.53401834923336
2023-05-13,26784.0785608824,9999171605.08,28.63,-0.009783504710740586,346023366.0,705679.0,991289460.9544857,26550774798779.71,802127.8571428572,0.05,-376.086716815782,-114.04455804254309
2023-05-14,26930.6378455643,10014858959.48,30.09,-0.008949514019780168,415228040.0,835319.0,1215289911.1348636,32728532474141.03,806967.2857142857,0.05,-415.3147092431682,-174.2985882826681
2023-05-15,27192.6932211649,14413231792.03,40.74,-0.0072405529698278065,350796102.0,817441.0,2763003238.264736,75133499427218.16,798949.4285714285,0.0775,-420.4112578578206,-223.52112219769862
2023-05-16,27036.650709944,12732238815.9,31.63,-0.006170586275161565,365114312.0,814467.0,3008826127.943103,81348581068150.94,798502.5,0.0775,-432.0611044440957,-265.22911864697807
2023-05-17,27398.8020279652,15140006925.18,32.2,-0.0041504302628362,381818888.0,841652.0,2465971974.354021,67564677931836.31,790499.0,0.0775,-407.3751400248839,-293.65832292255925
2023-05-18,26832.209300486,15222938600.41,29.66,-0.004022979659815331,345151895.0,814709.0,2512673144.6409097,67420571720715.22,783364.0714285715,0.0775,-428.5901132272629,-320.6446809835
2023-05-19,26890.1282424083,11258983300.89,19.44,-0.0034231839041526566,369469366.0,904374.0,2554604959.7346253,68693654975956.37,789245.2857142857,0.0775,-435.70699870851604,-343.6571445285032
2023-05-20,27129.5862550312,7044911360.48,27.64,-0.0021690968762807716,322669911.0,719434.0,920228012.26493,24965405233037.33,785996.5,0.0775,-417.2155205292256,-358.3688197286477
2023-05-21,26753.8256390547,8647416920.95,28.23,-0.002080590324284728,371932494.0,775828.0,791504500.9000938,21175773409608.12,802131.9285714285,0.0775,-427.94850818142004,-372.28475741920215
2023-05-22,26851.2776278913,11056770492.11,37.36,-0.0015320517252432318,354690591.0,817592.0,2534089158.369676,68043531525213.58,810766.3571428572,0.05,-423.70669018769695,-382.5691439729011
2023-05-23,27225.7265906348,13697203142.64,44.43,-9.153241826448398e-05,379321880.0,859507.0,3180993164.421833,86604850181227.03,817008.8571428572,0.05,-385.6841897152117,-383.1921531213632
2023-05-24,26334.8182144365,16299104428.23,35.63,-0.001196186145969216,347301204.0,859470.0,2711288352.175955,71401285881472.86,814719.7857142857,0.05,-422.5688340022716,-391.0674892975449
2023-05-25,26476.2075319731,13851122696.86,43.81,-0.00133871291247179,371932494.0,923963.0,3373192745.053606,89309351163385.31,821330.2142857143,0.05,-435.37254041796405,-399.9284995216288
2023-05-26,26719.2909846173,12711619225.45,49.37,-0.0006324315062463887,376858753.0,963216.0,2636344924.8529816,70441267182965.84,832332.2142857143,0.05,-421.05115132567516,-404.1530298824381
2023-05-27,26868.3538184312,7892015141.24,51.52,0.00032787110545259005,357153718.0,877266.0,1428456846.3702302,38380283962635.766,844588.4285714285,0.05,-393.14133379726263,-401.950690665403
2023-05-28,28085.6473607492,14545229578.02,61.69,0.0037673991133776,394100656.0,863880.0,1186204873.240664,33315331767439.496,846628.5,0.05,-269.6883869584999,-375.4982299240224
2023-05-29,27745.884443552,15181308983.6,55.84,0.005146767333295163,399026915.0,912071.0,2564600223.940437,71157101457358.94,853387.7857142857,0.0505,-196.99621531470257,-339.79782700215844
