date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
2014-02-04,827.9600219727,16609700.0,64.16,-0.02118858863442112,1.892202101189573e+16,167699,14.22240734,788820.3193448,73.3,1.0,143422.14285714287,1.6,33.71541002675281,51.25871433807862
2014-02-05,811.9099731445,22395100.0,61.24,-0.021206764439234044,1.930094389474557e+16,154153,13.81992653,796003.19400981,73.3,1.0,143779.2857142857,1.6,29.73623490515331,46.95421845149356
2014-02-06,781.549987793,50108700.0,58.51,-0.023641558337412497,2.4296245956549124e+16,160867,15.014427940000001,660055.6832446,73.3,1.0,145222.64285714287,1.6,23.857893913978273,42.33495354399051
2014-02-06,781.549987793,50108700.0,58.51,-0.023641558337412497,2.0359320113261056e+16,160867,15.014427940000001,660055.6832446,73.3,1.0,147801.64285714287,1.6,23.857893913978273,42.33495354399051
2014-02-07,712.4000244141,113643000.0,50.0,-0.03242079469964264,1.9650865173825344e+16,163329,15.30919578,863508.35555976,73.3,1.0,150595.2857142857,1.6,13.464234874553085,36.560809810103024
2014-02-08,673.9199829102,38742600.0,50.0,-0.040910289035055274,2.3276204056045744e+16,147237,12.26699028,564894.52497743,73.3,1.0,149901.2142857143,1.6,2.0979832009082884,29.66824448826408
2014-02-09,682.9000244141,39311400.0,41.86,-0.041918869522968256,2.1273701914042944e+16,126663,10.63153353,487711.37062478,73.3,1.0,149028.35714285713,1.6,-6.114751787544037,22.511645233102456
2014-02-10,681.0300292969,112758000.0,34.21,-0.041279079167877986,1.895428686111328e+16,169073,13.13957152,798179.98519314,73.3,1.0,151184.7857142857,1.1,-12.628720385708789,15.483572109340207
2014-02-11,672.1699829102,72745200.0,21.26,-0.04020256457808198,2.277538915217898e+16,152277,13.09678624,697297.44191768,73.3,1.0,151369.2857142857,1.1,-18.295124322404263,8.727832822991314
2014-02-12,651.7199707031,25367600.0,13.79,-0.04036739390823398,2.060028193406288e+16,213083,16.0368654,614785.48204274,73.3,1.0,156078.07142857142,1.1,-24.157463146052123,2.150773629182626
2014-02-13,605.2399902344,38588100.0,11.5,-0.04538198905097288,2.278763866441176e+16,162451,14.05001731,641840.31052504,73.3,1.0,158116.2142857143,1.1,-32.18296963335297,-4.715975023324493
2014-02-13,605.2399902344,38588100.0,11.5,-0.04538198905097288,2.34538798263072e+16,162451,14.05001731,641840.31052504,73.3,1.0,160235.85714285713,1.1,-32.18296963335297,-4.715975023324493
2014-02-14,661.9899902344,102506000.0,25.37,-0.03487782232715937,2.538254823516765e+16,174659,17.09758792,724332.87745072,73.3,1.0,163227.5,1.1,-33.576936600516206,-10.488167338762835
2014-02-15,650.9199829102,26709200.0,23.66,-0.030334103885818853,2.299922909813414e+16,149250,12.55607333,958961.4226448201,73.3,1.0,161718.5,1.1,-35.16951031745464,-15.424435934501195
2014-02-16,616.6300048828,40061700.0,21.88,-0.030264382674953644,2.6564398009448984e+16,126181,11.32317875,623765.15126793,73.3,1.0,158752.92857142858,1.1,-38.75184398029069,-20.089917543659094
2014-02-17,626.2700195313,31948400.0,24.81,-0.025877627227686665,2.40264890994879e+16,179060,23.5617028,501622.52293118,73.3,1.0,160532.0,1.5,-40.34789518029288,-24.14151307098585
2014-02-17,626.2700195313,31948400.0,24.81,-0.025877627227686665,2.4348229281972228e+16,179060,23.5617028,501622.52293118,73.3,1.0,161831.5,1.5,-40.34789518029288,-24.14151307098585
2014-02-18,626.5999755859,20015100.0,23.66,-0.02166705889682063,2.570025757730624e+16,155998,13.3494205,497138.57283008,68.5,-1.0,161483.7142857143,1.5,-41.11223629069343,-27.535657714927368
2014-02-19,623.0300292969,13897800.0,24.81,-0.017965988405064564,3.055984012284741e+16,174809,14.4588035,456023.58900931,68.5,-1.0,162303.7142857143,1.5,-41.52734556787129,-30.333995285516153
